index,field,pv,value,read-only
1260,enabled,SR13C-DI-EBPM-06:CF:ENABLED_S,1,True
1270,enabled,SR13C-DI-EBPM-07:CF:ENABLED_S,1,True
1284,enabled,SR14C-DI-EBPM-01:CF:ENABLED_S,1,True
1300,enabled,SR14C-DI-EBPM-02:CF:ENABLED_S,1,True
1306,enabled,SR14C-DI-EBPM-03:CF:ENABLED_S,1,True
1314,enabled,SR14C-DI-EBPM-04:CF:ENABLED_S,1,True
1328,enabled,SR14C-DI-EBPM-05:CF:ENABLED_S,1,True
1338,enabled,SR14C-DI-EBPM-06:CF:ENABLED_S,1,True
1348,enabled,SR14C-DI-EBPM-07:CF:ENABLED_S,1,True
1363,enabled,SR15C-DI-EBPM-01:CF:ENABLED_S,1,True
1379,enabled,SR15C-DI-EBPM-02:CF:ENABLED_S,1,True
1385,enabled,SR15C-DI-EBPM-03:CF:ENABLED_S,1,True
1393,enabled,SR15C-DI-EBPM-04:CF:ENABLED_S,1,True
1407,enabled,SR15C-DI-EBPM-05:CF:ENABLED_S,1,True
1417,enabled,SR15C-DI-EBPM-06:CF:ENABLED_S,1,True
1427,enabled,SR15C-DI-EBPM-07:CF:ENABLED_S,1,True
1443,enabled,SR16C-DI-EBPM-01:CF:ENABLED_S,1,True
1459,enabled,SR16C-DI-EBPM-02:CF:ENABLED_S,1,True
1465,enabled,SR16C-DI-EBPM-03:CF:ENABLED_S,1,True
1473,enabled,SR16C-DI-EBPM-04:CF:ENABLED_S,1,True
1487,enabled,SR16C-DI-EBPM-05:CF:ENABLED_S,1,True
1498,enabled,SR16C-DI-EBPM-06:CF:ENABLED_S,1,True
1508,enabled,SR16C-DI-EBPM-07:CF:ENABLED_S,1,True
1513,enabled,SR17C-DI-EBPM-01:CF:ENABLED_S,1,True
1529,enabled,SR17C-DI-EBPM-02:CF:ENABLED_S,1,True
1535,enabled,SR17C-DI-EBPM-03:CF:ENABLED_S,1,True
1543,enabled,SR17C-DI-EBPM-04:CF:ENABLED_S,1,True
1557,enabled,SR17C-DI-EBPM-05:CF:ENABLED_S,1,True
1567,enabled,SR17C-DI-EBPM-06:CF:ENABLED_S,1,True
1577,enabled,SR17C-DI-EBPM-07:CF:ENABLED_S,1,True
1593,enabled,SR18C-DI-EBPM-01:CF:ENABLED_S,1,True
1609,enabled,SR18C-DI-EBPM-02:CF:ENABLED_S,1,True
1615,enabled,SR18C-DI-EBPM-03:CF:ENABLED_S,1,True
1623,enabled,SR18C-DI-EBPM-04:CF:ENABLED_S,1,True
1637,enabled,SR18C-DI-EBPM-05:CF:ENABLED_S,1,True
1648,enabled,SR18C-DI-EBPM-06:CF:ENABLED_S,1,True
1658,enabled,SR18C-DI-EBPM-07:CF:ENABLED_S,1,True
1686,enabled,SR19C-DI-EBPM-01:CF:ENABLED_S,1,True
1702,enabled,SR19C-DI-EBPM-02:CF:ENABLED_S,1,True
1708,enabled,SR19C-DI-EBPM-03:CF:ENABLED_S,1,True
1716,enabled,SR19C-DI-EBPM-04:CF:ENABLED_S,1,True
1730,enabled,SR19C-DI-EBPM-05:CF:ENABLED_S,1,True
1740,enabled,SR19C-DI-EBPM-06:CF:ENABLED_S,1,True
1750,enabled,SR19C-DI-EBPM-07:CF:ENABLED_S,1,True
1794,enabled,SR20C-DI-EBPM-01:CF:ENABLED_S,1,True
1811,enabled,SR20C-DI-EBPM-02:CF:ENABLED_S,1,True
1817,enabled,SR20C-DI-EBPM-03:CF:ENABLED_S,1,True
