set pv,offset,delta
SR19A-PC-Q3B-03:SETI,SR19A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:19Q3B03:I
SR19A-PC-Q3B-08:SETI,SR19A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:19Q3B08:I
SR20A-PC-Q1B-01:SETI,SR20A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:20Q1B01:I
SR20A-PC-Q1D-10:SETI,SR20A-PC-Q1D-10:OFFSET1,SR-CS-TFB-01:20Q1D10:I
SR20A-PC-Q2B-02:SETI,SR20A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:20Q2B02:I
SR20A-PC-Q2D-09:SETI,SR20A-PC-Q2D-09:OFFSET1,SR-CS-TFB-01:20Q2D09:I
SR20A-PC-Q3B-03:SETI,SR20A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:20Q3B03:I
SR20A-PC-Q3D-08:SETI,SR20A-PC-Q3D-08:OFFSET1,SR-CS-TFB-01:20Q3D08:I
SR21A-PC-Q1B-10:SETI,SR21A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:21Q1B10:I
SR21A-PC-Q1D-01:SETI,SR21A-PC-Q1D-01:OFFSET1,SR-CS-TFB-01:21Q1D01:I
SR21A-PC-Q2B-09:SETI,SR21A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:21Q2B09:I
SR21A-PC-Q2D-02:SETI,SR21A-PC-Q2D-02:OFFSET1,SR-CS-TFB-01:21Q2D02:I
SR21A-PC-Q3B-08:SETI,SR21A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:21Q3B08:I
SR21A-PC-Q3D-03:SETI,SR21A-PC-Q3D-03:OFFSET1,SR-CS-TFB-01:21Q3D03:I
SR22A-PC-Q1B-01:SETI,SR22A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:22Q1B01:I
SR22A-PC-Q1B-10:SETI,SR22A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:22Q1B10:I
SR22A-PC-Q2B-02:SETI,SR22A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:22Q2B02:I
SR22A-PC-Q2B-09:SETI,SR22A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:22Q2B09:I
SR22A-PC-Q3B-03:SETI,SR22A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:22Q3B03:I
SR22A-PC-Q3B-08:SETI,SR22A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:22Q3B08:I
SR23A-PC-Q1B-01:SETI,SR23A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:23Q1B01:I
SR23A-PC-Q1B-10:SETI,SR23A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:23Q1B10:I
SR23A-PC-Q2B-02:SETI,SR23A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:23Q2B02:I
SR23A-PC-Q2B-09:SETI,SR23A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:23Q2B09:I
SR23A-PC-Q3B-03:SETI,SR23A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:23Q3B03:I
SR23A-PC-Q3B-08:SETI,SR23A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:23Q3B08:I
SR24A-PC-Q1B-01:SETI,SR24A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:24Q1B01:I
SR24A-PC-Q1D-10:SETI,SR24A-PC-Q1D-10:OFFSET1,SR-CS-TFB-01:24Q1D10:I
SR24A-PC-Q2B-02:SETI,SR24A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:24Q2B02:I
SR24A-PC-Q2D-09:SETI,SR24A-PC-Q2D-09:OFFSET1,SR-CS-TFB-01:24Q2D09:I
SR24A-PC-Q3B-03:SETI,SR24A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:24Q3B03:I
SR24A-PC-Q3D-08:SETI,SR24A-PC-Q3D-08:OFFSET1,SR-CS-TFB-01:24Q3D08:I
