pv,upper,lower
SR03A-PC-HSTR-05:SETI,5.0,-5.0
SR03A-PC-S2A-05:I,100.0,0.0
SR03A-PC-S2A-05:SETI,100.0,0.0
SR03A-PC-VSTR-05:I,5.0,-5.0
SR03A-PC-VSTR-05:SETI,5.0,-5.0
SR03A-PC-Q2AB-07:I,200.0,0.0
SR03A-PC-Q2AB-07:SETI,200.0,0.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR03A-PC-HSTR-06:I,5.0,-5.0
SR03A-PC-HSTR-06:SETI,5.0,-5.0
SR03A-PC-S2B-06:I,100.0,-100.0
SR03A-PC-S2B-06:SETI,100.0,-100.0
SR03A-PC-VSTR-06:I,5.0,-5.0
SR03A-PC-VSTR-06:SETI,5.0,-5.0
SR03A-PC-Q3B-08:I,200.0,0.0
SR03A-PC-Q3B-08:SETI,200.0,0.0
SR03A-PC-Q2B-09:I,200.0,0.0
SR03A-PC-Q2B-09:SETI,200.0,0.0
SR03A-PC-SQUAD-04:I,5.0,-5.0
SR03A-PC-SQUAD-04:SETI,5.0,-5.0
SR03A-PC-HSTR-07:I,5.0,-5.0
SR03A-PC-HSTR-07:SETI,5.0,-5.0
SR03A-PC-S1B-07:I,100.0,-100.0
SR03A-PC-S1B-07:SETI,100.0,-100.0
SR03A-PC-VSTR-07:I,5.0,-5.0
SR03A-PC-VSTR-07:SETI,5.0,-5.0
SR03A-PC-Q1B-10:I,200.0,0.0
SR03A-PC-Q1B-10:SETI,200.0,0.0
SR04A-PC-Q1B-01:I,200.0,0.0
SR04A-PC-Q1B-01:SETI,200.0,0.0
SR04A-PC-SQUAD-01:I,5.0,-5.0
SR04A-PC-SQUAD-01:SETI,5.0,-5.0
SR04A-PC-HSTR-01:I,5.0,-5.0
SR04A-PC-HSTR-01:SETI,5.0,-5.0
SR04A-PC-S1C-01:I,100.0,-100.0
SR04A-PC-S1C-01:SETI,100.0,-100.0
SR04A-PC-VSTR-01:I,5.0,-5.0
SR04A-PC-VSTR-01:SETI,5.0,-5.0
SR04A-PC-Q2B-02:I,200.0,0.0
SR04A-PC-Q2B-02:SETI,200.0,0.0
SR04A-PC-Q3B-03:I,200.0,0.0
SR04A-PC-Q3B-03:SETI,200.0,0.0
SR04A-PC-HSTR-02:I,5.0,-5.0
SR04A-PC-HSTR-02:SETI,5.0,-5.0
SR04A-PC-S2C-02:I,100.0,-100.0
SR04A-PC-S2C-02:SETI,100.0,-100.0
SR04A-PC-VSTR-02:I,5.0,-5.0
SR04A-PC-VSTR-02:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR04A-PC-Q2AB-04:I,200.0,0.0
SR04A-PC-Q2AB-04:SETI,200.0,0.0
SR04A-PC-SQUAD-02:I,5.0,-5.0
SR04A-PC-SQUAD-02:SETI,5.0,-5.0
SR04A-PC-HSTR-03:I,5.0,-5.0
SR04A-PC-HSTR-03:SETI,5.0,-5.0
SR04A-PC-S2A-03:I,100.0,0.0
SR04A-PC-S2A-03:SETI,100.0,0.0
SR04A-PC-VSTR-03:I,5.0,-5.0
SR04A-PC-VSTR-03:SETI,5.0,-5.0
SR04A-PC-Q1AB-05:I,200.0,0.0
SR04A-PC-Q1AB-05:SETI,200.0,0.0
SR04A-PC-HSTR-04:I,5.0,-5.0
SR04A-PC-HSTR-04:SETI,5.0,-5.0
SR04A-PC-S1A-04:I,110.0,0.0
SR04A-PC-S1A-04:SETI,110.0,0.0
SR04A-PC-VSTR-04:I,5.0,-5.0
SR04A-PC-VSTR-04:SETI,5.0,-5.0
SR04A-PC-Q1AD-06:I,200.0,0.0
SR04A-PC-Q1AD-06:SETI,200.0,0.0
SR04A-PC-SQUAD-03:I,5.0,-5.0
SR04A-PC-SQUAD-03:SETI,5.0,-5.0
SR04A-PC-HSTR-05:I,5.0,-5.0
SR04A-PC-HSTR-05:SETI,5.0,-5.0
SR04A-PC-S2A-05:I,100.0,0.0
SR04A-PC-S2A-05:SETI,100.0,0.0
SR04A-PC-VSTR-05:I,5.0,-5.0
SR04A-PC-VSTR-05:SETI,5.0,-5.0
SR04A-PC-Q2AD-07:I,200.0,0.0
SR04A-PC-Q2AD-07:SETI,200.0,0.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR04A-PC-HSTR-06:I,5.0,-5.0
SR04A-PC-HSTR-06:SETI,5.0,-5.0
SR04A-PC-S2D-06:I,100.0,-100.0
SR04A-PC-S2D-06:SETI,100.0,-100.0
SR04A-PC-VSTR-06:I,5.0,-5.0
SR04A-PC-VSTR-06:SETI,5.0,-5.0
SR04A-PC-Q3D-08:I,200.0,0.0
SR04A-PC-Q3D-08:SETI,200.0,0.0
SR04A-PC-Q2D-09:I,200.0,0.0
SR04A-PC-Q2D-09:SETI,200.0,0.0
SR04A-PC-SQUAD-04:I,5.0,-5.0
SR04A-PC-SQUAD-04:SETI,5.0,-5.0
